Severity,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,NY,39.9,35.1,68.0,30.06,10.0,6.9,0.0
2,MO,32.0,26.4,92.0,30.28,4.0,5.8,0.0
3,MI,28.0,20.8,85.0,30.09,2.0,6.9,0.0
3,PA,30.9,25.2,64.0,30.07,6.0,5.8,0.0
3,MN,27.0,18.7,81.0,30.02,3.0,8.1,0.0
3,MN,28.9,20.4,78.0,30.03,7.0,9.2,0.0
2,NY,30.0,22.4,92.0,30.11,1.0,8.1,0.0
3,PA,32.0,24.2,96.0,30.24,7.0,9.2,0.0
1,AL,42.1,40.2,79.0,30.48,9.0,3.5,0.01
2,AL,45.0,41.2,86.0,30.4,10.0,6.9,0.01
2,NC,39.9,35.8,83.0,30.45,5.0,5.8,0.01
3,GA,34.0,27.2,92.0,30.04,6.0,8.1,0.02
3,GA,37.0,27.4,89.0,29.96,2.5,17.3,0.0
2,NC,30.0,22.4,92.0,30.13,0.5,8.1,0.12
2,SC,37.0,32.4,100.0,30.0,5.0,5.8,0.01
3,GA,39.0,36.8,96.0,30.11,6.0,3.5,0.0
3,UT,28.9,23.9,96.0,30.08,0.8,4.6,0.05
2,NY,35.1,26.4,67.0,30.41,10.0,12.7,0.0
2,TX,37.0,26.7,100.0,29.95,5.0,19.6,0.13
2,MI,36.0,33.3,97.0,30.21,1.5,3.5,0.06
2,NC,44.1,38.6,96.0,30.24,2.5,10.4,0.06
2,NC,46.0,41.0,96.0,30.18,1.0,10.4,0.06
3,GA,46.0,39.6,93.0,30.06,0.5,15.0,0.01
2,CT,39.0,32.3,89.0,29.83,2.0,10.4,0.01
3,NY,36.0,26.7,73.0,29.91,9.0,15.0,0.01
2,KY,45.0,40.6,86.0,29.43,10.0,8.1,0.0
2,GA,45.0,37.9,90.0,29.41,5.0,16.1,0.03
2,IL,35.1,24.8,89.0,29.62,6.0,17.3,0.0
2,MA,46.4,41.5,87.0,29.27,2.0,10.4,0.01
2,NC,46.0,41.9,96.0,30.23,2.0,8.1,0.01
3,MN,35.6,30.7,100.0,29.48,5.0,5.8,0.03
2,NH,33.1,28.7,92.0,30.3,4.0,4.6,0.02
2,NH,33.1,30.0,100.0,30.32,2.5,3.5,0.09
2,TX,39.0,33.4,86.0,29.91,10.0,8.1,0.0
3,WA,39.9,35.8,86.0,30.37,10.0,5.8,0.01
2,MI,36.0,30.3,100.0,29.75,2.0,6.9,0.06
3,NY,42.1,37.1,89.0,30.25,8.0,8.1,0.04
2,IL,37.0,31.0,96.0,29.77,3.0,8.1,0.05
3,MN,23.0,8.7,86.0,29.89,0.8,18.4,0.0
3,MO,41.0,39.0,96.0,29.75,3.0,3.5,0.04
3,MN,43.0,38.8,93.0,29.65,5.0,6.9,0.01
2,MN,39.9,31.4,93.0,29.61,10.0,16.1,0.01
2,MN,25.0,18.1,92.0,30.33,1.8,5.8,0.01
3,MO,37.0,32.4,82.0,30.31,9.0,5.8,0.0
2,OK,46.0,41.9,71.0,30.22,10.0,8.1,0.01
2,PA,37.0,31.6,86.0,30.11,6.0,6.9,0.07
2,PA,39.0,32.8,96.0,29.97,2.0,9.2,0.04
3,SC,46.4,44.3,96.0,30.05,5.0,4.6,0.02
2,MN,23.0,11.7,65.0,30.27,7.0,11.5,0.0
3,TN,42.1,38.4,89.0,30.06,2.5,5.8,0.18
2,TN,42.1,38.4,89.0,30.08,2.0,5.8,0.23
2,TX,45.0,41.8,74.0,30.39,10.0,5.8,0.0
2,SC,39.0,33.4,93.0,30.31,8.0,8.1,0.01
2,OK,30.0,17.5,88.0,30.43,6.0,19.6,0.0
3,TX,43.0,36.0,93.0,30.17,8.0,13.8,0.0
2,OH,35.6,31.7,93.0,30.22,4.0,4.6,0.0
3,VA,46.0,43.1,93.0,29.97,9.0,5.8,0.02
3,LA,44.1,38.1,89.0,30.18,10.0,11.5,0.0
2,TN,39.0,31.8,89.0,30.2,6.0,11.5,0.02
3,NY,28.9,18.6,61.0,30.31,10.0,12.7,0.0
2,NC,45.0,39.7,76.0,30.4,7.0,10.4,0.0
2,NC,39.9,32.9,77.0,30.4,10.0,11.5,0.0
3,SC,43.0,36.8,82.0,30.34,10.0,11.5,0.0
2,AL,45.0,42.6,100.0,30.18,5.0,4.6,0.0
3,NJ,28.9,19.2,96.0,30.27,0.2,11.5,0.16
3,KY,35.1,28.6,82.0,30.09,10.0,8.1,0.01
3,IN,33.1,24.4,92.0,30.11,4.0,11.5,0.03
2,TN,39.9,36.7,100.0,30.06,2.0,4.6,0.03
3,TN,36.0,27.1,89.0,30.02,10.0,13.8,0.0
3,NC,37.9,31.5,89.0,30.17,4.0,9.2,0.2
3,VA,35.6,27.1,93.0,30.31,10.0,12.7,0.01
2,NC,42.1,37.1,96.0,29.89,2.0,8.1,0.05
2,NC,41.0,34.7,96.0,29.85,10.0,10.4,0.01
2,NC,39.0,33.4,96.0,29.85,2.0,8.1,0.0
2,VA,37.0,30.4,100.0,29.82,4.0,9.2,0.01
3,NY,28.0,21.7,96.0,29.77,9.0,5.8,0.0
2,NY,32.0,22.1,85.0,29.63,1.0,13.8,0.0
2,MN,28.0,18.1,81.0,29.88,9.0,11.5,0.0
2,LA,42.1,36.6,92.0,30.25,4.0,9.2,0.03
2,TX,45.0,41.2,97.0,30.19,6.0,6.9,0.01
2,MI,24.1,12.5,71.0,30.17,10.0,12.7,0.0
2,MI,24.1,12.5,71.0,30.17,10.0,12.7,0.0
2,NY,37.0,34.5,100.0,29.89,2.5,3.5,0.0
2,UT,41.0,33.5,93.0,29.75,10.0,13.8,0.09
3,IL,45.0,40.6,90.0,29.51,9.0,8.1,0.04
3,UT,33.1,28.7,92.0,29.84,4.0,4.6,0.0
3,UT,34.0,26.0,92.0,29.91,5.0,10.4,0.0
2,MI,32.0,20.8,96.0,29.55,1.2,17.3,0.0
2,MI,32.0,21.2,96.0,29.57,1.5,16.1,0.01
3,MI,32.0,21.2,96.0,29.55,0.8,16.1,0.0
3,NY,39.9,35.8,86.0,29.51,6.0,5.8,0.07
3,PA,23.0,10.1,88.0,29.89,1.0,15.0,0.0
2,MN,24.8,11.5,86.0,29.86,5.0,17.3,0.0
3,MN,44.2,38.4,95.0,29.88,7.0,11.5,0.08
2,CO,32.0,24.2,96.0,30.02,0.8,9.2,0.02
2,IN,45.0,39.7,76.0,29.96,10.0,10.4,0.02
3,IL,42.1,34.9,85.0,30.04,10.0,13.8,0.03
2,TX,46.0,41.9,96.0,30.25,4.0,8.1,0.12
2,SC,45.0,37.6,97.0,29.91,1.8,17.3,0.09
3,NY,39.0,30.3,62.0,29.97,10.0,16.1,0.0
2,NY,45.0,38.5,80.0,29.83,10.0,13.8,0.0
2,NY,44.1,37.1,85.0,29.86,10.0,15.0,0.0
3,MA,46.0,44.8,83.0,29.93,10.0,3.5,0.02
3,MI,43.0,37.7,76.0,30.17,10.0,9.2,0.0
3,MN,30.0,22.4,85.0,29.89,1.8,8.1,0.01
2,MN,28.9,21.1,85.0,29.88,1.8,8.1,0.0
3,MI,37.0,27.7,100.0,29.54,2.5,16.1,0.04
3,NY,37.9,30.9,97.0,29.73,9.0,10.4,0.0
3,MN,28.0,14.9,100.0,29.88,0.8,19.6,0.0
2,MN,25.0,14.2,88.0,30.0,0.2,11.5,0.02
2,IN,33.1,23.0,70.0,30.22,6.0,15.0,0.0
2,IN,34.0,25.0,70.0,30.25,9.0,12.7,0.0
3,OH,34.0,21.3,75.0,29.86,9.0,25.3,0.0
2,NY,26.1,14.5,75.0,30.13,4.0,13.8,0.0
3,PA,28.0,19.3,78.0,30.17,2.5,9.2,0.0
3,OH,28.0,20.0,88.0,30.19,3.0,8.1,0.01
2,NH,33.8,29.6,87.0,29.74,1.5,4.6,0.0
2,PA,39.0,32.8,82.0,30.02,10.0,9.2,0.0
2,WY,18.0,5.4,81.0,30.21,8.0,11.5,0.0
3,SC,46.0,39.6,96.0,29.79,6.0,15.0,0.01
2,SC,45.0,40.1,93.0,30.05,4.0,9.2,0.01
2,SC,45.0,41.8,93.0,30.05,3.0,5.8,0.02
2,CO,34.0,28.0,96.0,30.22,1.2,6.9,0.0
2,MN,33.1,22.6,75.0,30.03,5.0,16.1,0.03
3,MN,28.9,16.5,72.0,30.01,2.5,18.4,0.0
2,MN,30.0,20.0,56.0,30.02,10.0,12.7,0.0
3,MN,27.0,13.9,89.0,30.07,0.2,18.4,0.0
2,MA,35.1,25.5,92.0,30.32,3.0,15.0,0.01
2,MI,33.1,23.0,82.0,29.72,3.0,15.0,0.0
3,PA,39.9,33.9,97.0,29.62,8.0,9.2,0.03
3,TN,35.1,28.6,78.0,29.99,8.0,8.1,0.01
2,MI,28.9,16.9,72.0,29.74,10.0,17.3,0.0
3,OH,32.0,22.1,82.0,29.79,5.0,13.8,0.0
2,MA,35.1,31.0,92.0,29.74,2.5,4.6,0.02
3,NY,42.1,35.2,82.0,29.63,10.0,12.7,0.0
2,NY,37.9,32.1,93.0,29.67,10.0,8.1,0.01
2,CO,37.0,26.7,67.0,30.3,10.0,19.6,0.0
2,CO,36.0,25.3,76.0,30.37,3.0,19.6,0.0
3,MI,37.0,27.0,93.0,29.82,1.8,18.4,0.08
2,NY,30.0,17.2,100.0,29.89,0.5,20.7,0.03
2,NY,30.0,17.9,100.0,29.92,1.0,18.4,0.03
2,NY,30.0,19.5,100.0,29.96,1.0,13.8,0.0
3,CA,44.1,37.4,89.0,30.02,6.0,13.8,0.05
3,UT,27.0,16.7,92.0,29.86,1.2,11.5,0.01
2,MN,34.0,21.5,89.0,29.83,4.0,24.2,0.1
3,IL,33.8,24.3,94.0,29.82,3.0,13.8,0.01
3,MN,33.1,22.2,70.0,29.82,7.0,17.3,0.01
3,MN,28.0,18.1,88.0,29.72,1.0,11.5,0.0
2,NY,28.9,23.9,78.0,30.07,9.0,4.6,0.0
2,NC,43.0,40.3,97.0,29.93,2.0,4.6,0.09
3,VA,41.0,35.2,86.0,29.93,6.0,9.2,0.06
2,NC,42.1,38.4,96.0,29.74,0.5,5.8,0.01
2,MN,28.4,18.0,86.0,29.65,2.5,12.7,0.0
3,IA,28.0,16.5,78.0,29.56,9.0,15.0,0.01
3,MI,30.0,23.2,92.0,29.7,1.2,6.9,0.02
2,NY,33.1,20.3,92.0,29.58,1.5,24.2,0.01
3,KY,33.1,21.9,85.0,29.92,8.0,18.4,0.0
2,NE,27.0,15.6,78.0,30.23,10.0,13.8,0.0
2,MI,28.9,16.1,82.0,29.88,9.0,19.6,0.0
2,SC,42.8,35.1,100.0,29.64,10.0,16.1,0.04
2,RI,30.0,17.5,92.0,29.42,0.5,19.6,0.0
2,OH,28.9,19.8,89.0,30.04,0.2,10.4,0.0
2,NY,28.9,21.9,96.0,29.63,0.8,6.9,0.02
2,NJ,37.0,26.7,54.0,29.65,10.0,19.6,0.0
2,NE,38.5,30.7,80.0,29.78,5.0,12.7,0.1
2,CA,41.0,35.8,100.0,29.88,2.5,8.1,0.05
2,MD,37.0,27.7,62.0,29.87,7.0,16.1,0.0
2,PA,27.0,19.5,96.0,29.83,0.2,6.9,0.0
2,PA,28.0,20.8,92.0,29.81,0.5,6.9,0.0
3,MD,35.1,25.2,89.0,29.76,3.0,16.1,0.09
3,PA,28.0,22.8,92.0,29.77,2.5,4.6,0.0
3,IN,34.0,28.8,96.0,29.64,2.5,5.8,0.01
2,VA,39.2,34.2,93.0,29.67,2.5,6.9,0.04
3,MN,30.0,23.2,82.0,30.08,3.0,6.9,0.0
3,TN,36.0,27.5,86.0,29.78,10.0,12.7,0.0
3,TN,34.0,25.5,89.0,29.84,3.0,11.5,0.0
2,DE,30.9,21.2,100.0,29.63,0.2,12.7,0.11
3,NJ,31.6,25.1,90.0,29.64,1.2,6.9,0.01
2,PA,28.9,16.9,89.0,29.66,0.5,17.3,0.04
2,PA,30.9,23.5,92.0,29.67,0.5,8.1,0.0
3,OH,30.0,25.2,92.0,29.64,1.2,4.6,0.02
3,OH,30.9,20.2,67.0,29.75,10.0,15.0,0.0
3,VA,39.0,30.6,96.0,29.51,7.0,15.0,0.04
3,VA,32.7,28.3,97.0,29.61,0.8,4.6,0.02
3,NC,36.0,30.3,89.0,29.69,9.0,6.9,0.0
3,MO,39.9,33.4,97.0,30.08,5.0,10.4,0.32
3,MN,33.1,28.7,85.0,30.04,4.0,4.6,0.15
2,IA,42.1,37.7,89.0,29.92,8.0,6.9,0.05
2,NM,42.1,34.9,79.0,30.0,10.0,13.8,0.06
2,MI,41.0,32.8,93.0,30.01,9.0,16.1,0.0
3,NY,46.0,43.1,100.0,29.76,8.0,5.8,0.05
2,OH,42.1,37.1,85.0,30.15,2.0,8.1,0.0
2,MN,25.0,9.5,92.0,29.79,1.2,24.2,0.0
3,NH,33.1,26.9,78.0,29.91,10.0,6.9,0.0
2,NJ,41.0,39.0,60.0,29.94,10.0,3.5,0.0
3,MI,21.9,8.2,82.0,29.78,2.0,16.1,0.0
3,MI,19.0,4.5,77.0,29.85,0.8,16.1,0.0
3,NY,33.1,28.7,85.0,29.83,2.0,4.6,0.02
3,MI,26.1,12.3,81.0,29.76,3.0,19.6,0.0
3,WI,10.9,0.2,84.0,30.21,2.0,6.9,0.02
2,IL,9.0,-5.1,92.0,30.21,0.5,10.4,0.02
2,NY,15.1,7.7,88.0,30.32,0.5,4.6,0.0
3,PA,21.9,15.7,89.0,30.41,4.0,4.6,0.0
2,TX,44.6,38.8,100.0,30.04,1.2,11.5,0.01
2,TN,39.0,35.7,89.0,30.24,8.0,4.6,0.01
3,NH,28.0,24.2,92.0,29.99,1.0,3.5,0.03
2,PA,28.0,21.7,92.0,30.32,0.8,5.8,0.07
3,MD,32.0,28.7,93.0,29.93,2.0,3.5,0.01
2,IL,16.0,1.7,71.0,30.35,6.0,13.8,0.0
2,TN,35.1,26.9,92.0,30.18,2.0,11.5,0.02
3,MI,21.0,7.1,60.0,30.37,9.0,16.1,0.0
2,OH,18.0,4.8,81.0,30.48,7.0,12.7,0.0
2,IL,18.0,9.8,84.0,30.39,4.0,5.8,0.0
3,MI,18.0,9.8,88.0,30.32,0.8,5.8,0.03
2,MI,19.9,11.1,89.0,30.18,0.5,6.9,0.03
3,MI,21.0,11.4,81.0,30.16,9.0,8.1,0.0
3,WI,25.0,12.6,81.0,30.2,6.0,15.0,0.0
3,NY,28.0,18.1,92.0,30.1,1.5,11.5,0.01
3,MI,21.2,9.5,86.0,30.11,2.0,11.5,0.01
3,MI,21.9,11.7,82.0,30.12,1.0,9.2,0.0
2,NY,28.9,17.7,96.0,30.11,2.5,15.0,0.0
2,OR,39.9,34.5,89.0,30.05,6.0,8.1,0.01
2,UT,33.1,27.7,75.0,30.05,6.0,5.8,0.0
2,MN,19.9,6.7,85.0,29.91,0.8,13.8,0.01
2,MN,19.9,7.3,81.0,29.87,1.2,12.7,0.0
3,UT,25.0,14.8,100.0,29.49,0.5,10.4,0.02
2,CO,10.9,1.4,88.0,29.66,0.8,5.8,0.0
3,UT,26.6,13.8,86.0,29.49,8.0,17.3,0.0
2,IL,46.0,39.9,96.0,29.99,10.0,13.8,0.02
2,OK,35.1,29.3,89.0,30.04,6.0,6.9,0.18
2,OK,25.0,12.2,92.0,30.35,2.5,16.1,0.02
2,NY,32.0,25.6,92.0,30.59,0.2,6.9,0.1
2,NJ,39.0,34.0,96.0,30.62,1.8,6.9,0.02
2,PA,45.0,38.9,74.0,30.52,10.0,12.7,0.0
3,IN,37.9,30.0,93.0,30.43,1.8,12.7,0.0
3,IN,37.0,29.3,89.0,30.44,2.5,11.5,0.01
2,IA,32.0,24.2,93.0,30.33,0.8,9.2,0.01
3,TX,35.1,27.4,100.0,30.25,1.5,10.4,0.0
3,TX,37.9,30.5,97.0,30.22,2.0,11.5,0.0
2,OK,36.0,32.1,97.0,30.24,6.0,4.6,0.03
3,AZ,21.0,13.4,88.0,29.96,1.5,5.8,0.01
3,MN,27.0,20.5,92.0,29.59,0.8,5.8,0.05
2,SC,28.0,18.6,33.0,30.6,10.0,10.4,0.0
3,MI,12.9,1.6,81.0,29.98,1.0,8.1,0.0
3,IN,16.0,4.4,81.0,30.03,2.5,9.2,0.0
3,IN,19.9,7.9,65.0,30.04,6.0,11.5,0.0
2,IL,17.1,4.3,71.0,30.11,7.0,11.5,0.0
2,IL,17.1,2.0,62.0,30.12,10.0,16.1,0.0
2,NJ,24.8,10.0,86.0,29.41,0.2,21.9,0.0
3,NY,23.0,8.7,81.0,29.36,1.0,18.4,0.0
2,CT,19.9,4.8,89.0,29.56,0.2,18.4,0.03
3,VA,21.9,12.5,85.0,29.7,1.0,8.1,0.01
2,VA,23.0,8.7,85.0,29.69,0.8,18.4,0.01
2,TN,12.9,-0.2,65.0,30.31,10.0,10.4,0.0
2,PA,23.0,15.8,58.0,30.17,3.0,5.8,0.0
2,PA,34.0,27.2,92.0,30.01,10.0,8.1,0.0
3,IN,42.1,36.6,100.0,30.08,0.5,9.2,0.0
2,NY,39.0,31.8,76.0,30.23,10.0,11.5,0.0
3,KY,32.0,21.2,96.0,29.81,1.0,16.1,0.03
3,TN,23.0,12.4,85.0,30.05,1.5,10.4,0.01
2,MI,17.1,3.0,81.0,30.34,2.0,13.8,0.0
3,IN,19.0,9.0,88.0,30.39,3.0,8.1,0.0
2,IN,21.0,11.4,88.0,30.22,0.8,8.1,0.01
3,OH,28.0,18.1,96.0,30.3,1.2,11.5,0.01
3,IL,19.0,6.8,85.0,30.17,1.5,11.5,0.01
2,IL,19.9,10.1,89.0,30.18,1.8,8.1,0.0
2,IL,19.4,9.5,93.0,30.12,4.0,8.1,0.0
2,OH,10.0,-6.5,70.0,30.45,10.0,15.0,0.0
2,KY,12.0,-1.3,80.0,30.53,1.0,10.4,0.01
3,NE,-0.0,-20.1,72.0,30.85,9.0,16.1,0.0
3,IL,14.0,0.5,84.0,30.43,1.2,11.5,0.0
3,TN,14.0,2.9,74.0,30.63,0.8,8.1,0.02
3,TX,26.1,15.0,78.0,30.64,7.0,12.7,0.0
3,TX,26.1,14.5,81.0,30.64,10.0,13.8,0.0
2,NH,33.1,28.7,85.0,30.13,2.5,4.6,0.0
2,PA,21.9,9.8,82.0,30.38,2.0,12.7,0.0
2,VA,24.1,17.0,84.0,30.34,2.5,5.8,0.02
3,NC,32.0,26.4,96.0,30.28,0.5,5.8,0.06
2,NC,31.8,27.3,99.0,30.2,0.5,4.6,0.05
3,VA,28.0,17.5,92.0,30.25,0.5,12.7,0.02
2,NE,2.8,-6.6,83.0,30.64,10.0,4.6,0.0
2,WA,45.0,41.8,82.0,29.83,10.0,5.8,0.05
2,MI,36.0,28.5,97.0,29.86,4.0,10.4,0.1
2,MN,30.9,20.7,92.0,29.78,0.5,13.8,0.0
3,WA,42.1,36.6,76.0,30.0,10.0,9.2,0.0
3,OH,28.0,20.0,78.0,30.25,10.0,8.1,0.0
2,IL,26.1,20.5,100.0,30.23,1.8,4.6,0.0
2,IL,26.1,20.5,100.0,30.23,1.8,4.6,0.0
3,WA,44.1,38.6,89.0,29.71,10.0,10.4,0.02
2,WA,44.1,38.6,93.0,29.57,10.0,10.4,0.0
3,MI,28.9,19.2,89.0,30.25,0.5,11.5,0.0
2,MI,24.1,13.7,91.0,30.33,1.5,10.4,0.01
3,MI,24.1,13.7,88.0,30.33,1.8,10.4,0.0
2,NY,19.9,8.6,92.0,30.17,1.8,10.4,0.02
2,NJ,30.2,24.3,93.0,29.97,5.0,5.8,0.0
2,OH,19.9,3.9,71.0,30.39,9.0,20.7,0.0
2,OR,42.1,40.2,85.0,29.9,10.0,3.5,0.0
2,OR,32.0,25.6,100.0,29.92,0.2,6.9,0.0
2,OH,33.1,26.9,75.0,30.13,10.0,6.9,0.0
4,IN,28.9,21.9,85.0,30.18,9.0,6.9,0.0
2,MN,28.0,18.6,81.0,29.99,3.0,10.4,0.0
2,MN,27.0,20.5,75.0,30.02,8.0,5.8,0.0
2,AR,34.0,25.5,92.0,30.31,6.0,11.5,0.05
2,NC,34.0,25.5,92.0,30.27,3.0,11.5,0.07
2,MN,18.0,6.9,100.0,30.22,1.0,9.2,0.0
2,UT,28.0,24.2,88.0,30.01,1.8,3.5,0.0
2,NJ,33.1,25.5,64.0,30.4,10.0,9.2,0.0
2,OH,46.0,39.0,93.0,29.9,1.0,17.3,0.2
2,OR,45.0,37.4,76.0,29.81,10.0,18.4,0.03
2,UT,32.0,23.6,92.0,29.94,2.5,10.4,0.06
2,OH,45.0,40.6,90.0,29.69,1.8,8.1,0.22
2,KS,44.1,40.8,89.0,30.08,9.0,5.8,0.03
2,WV,44.1,39.5,89.0,29.97,10.0,8.1,0.03
2,ME,33.1,25.5,96.0,29.9,7.0,9.2,0.03
2,TX,44.1,37.1,93.0,30.08,3.0,15.0,0.01
2,NJ,37.4,28.9,93.0,30.25,2.5,13.8,0.09
4,NC,39.0,34.8,96.0,29.86,2.0,5.8,0.0
3,GA,42.1,37.1,92.0,30.13,3.0,8.1,0.05
2,IL,34.0,28.8,89.0,29.96,2.5,5.8,0.0
3,WA,46.0,41.0,93.0,29.64,5.0,10.4,0.03
4,NY,37.0,31.6,100.0,29.76,5.0,6.9,0.03
2,IL,27.0,12.8,81.0,29.85,10.0,21.9,0.0
3,TX,43.0,37.7,93.0,30.3,6.0,9.2,0.03
4,NY,37.9,30.5,79.0,30.21,10.0,11.5,0.01
2,NH,39.9,35.1,65.0,30.17,10.0,6.9,0.0
2,ME,33.1,23.0,96.0,30.14,3.0,15.0,0.04
2,OH,44.1,39.0,93.0,29.86,10.0,9.2,0.0
4,PA,44.1,37.1,93.0,29.68,10.0,15.0,0.04
4,OH,28.0,20.8,88.0,30.2,2.5,6.9,0.0
3,WA,44.1,41.5,85.0,29.7,10.0,4.6,0.03
2,MI,34.0,28.0,92.0,29.68,10.0,6.9,0.05
2,IL,28.9,19.2,82.0,29.81,9.0,11.5,0.0
2,MN,28.4,18.5,93.0,29.93,0.5,11.5,0.0
2,NY,33.1,23.0,70.0,29.89,10.0,15.0,0.0
2,CA,46.0,43.9,83.0,29.9,10.0,4.6,0.0
3,IL,39.9,30.8,47.0,29.87,10.0,18.4,0.0
2,MI,30.9,22.2,85.0,29.77,3.0,10.4,0.0
3,IL,30.0,20.5,51.0,30.04,10.0,11.5,0.0
4,KY,27.0,16.7,85.0,30.14,2.0,11.5,0.0
2,MI,32.0,20.5,69.0,29.74,6.0,18.4,0.0
2,OH,26.1,15.6,63.0,30.16,10.0,11.5,0.0
2,KY,36.0,28.0,82.0,29.64,10.0,11.5,0.0
2,MD,28.4,23.3,100.0,29.64,0.8,4.6,0.02
4,OH,30.0,19.5,88.0,29.79,3.0,13.8,0.0
4,WA,43.0,37.7,97.0,29.53,10.0,9.2,0.01
2,MN,30.9,22.2,92.0,30.13,0.5,10.4,0.02
2,MI,39.9,32.1,89.0,30.09,7.0,13.8,0.01
4,NY,37.9,31.5,93.0,29.82,10.0,9.2,0.03
2,NJ,34.0,28.8,100.0,29.8,2.5,5.8,0.15
2,NY,21.0,7.6,78.0,30.42,10.0,15.0,0.0
2,IL,10.0,0.4,80.0,30.5,7.0,5.8,0.0
2,IL,26.1,17.6,92.0,30.18,0.8,8.1,0.03
2,IL,19.9,6.2,78.0,30.25,7.0,15.0,0.0
2,NY,42.1,34.5,62.0,30.31,10.0,15.0,0.0
2,NC,45.0,38.2,93.0,30.48,10.0,15.0,0.0
2,RI,35.1,26.4,72.0,29.94,10.0,12.7,0.02
2,UT,28.0,16.1,88.0,29.47,0.5,16.1,0.02
2,IL,41.0,33.1,89.0,30.0,10.0,15.0,0.05
4,TX,43.0,39.5,93.0,30.23,7.0,5.8,0.01
2,NY,-0.0,-9.9,83.0,30.38,10.0,4.6,0.0
2,NY,1.9,-18.1,80.0,29.88,2.5,17.3,0.0
4,MI,12.9,5.2,77.0,30.32,0.5,4.6,0.0
2,NY,30.9,22.2,69.0,30.1,10.0,10.4,0.0
2,NC,44.1,39.0,85.0,30.2,10.0,9.2,0.0
2,NC,39.9,36.7,45.0,30.28,10.0,4.6,0.0
2,MI,17.1,-1.0,71.0,30.03,7.0,24.2,0.0
3,IL,16.0,3.6,77.0,30.28,5.0,10.4,0.0
3,TX,30.0,20.5,59.0,30.68,10.0,11.5,0.0
2,NY,35.1,30.1,85.0,30.29,10.0,5.8,0.01
2,MT,37.0,28.9,79.0,29.68,10.0,12.7,0.0
2,OH,35.1,24.8,100.0,29.92,9.0,17.3,0.02
3,MN,18.0,5.4,78.0,29.99,10.0,11.5,0.0
2,MI,26.1,16.8,92.0,30.27,0.5,9.2,0.0
2,NY,28.9,22.8,89.0,29.97,1.0,5.8,0.0
