CLEAR,OVERCAST,FOG,RAIN,SNOW,FREEZING,State
4222,7505,127,1618,9,28,AL
171,274,12,71,5,1,AR
11804,9869,39,475,38,0,AZ
80611,54636,8950,6218,90,11,CA
3475,9413,130,297,577,90,CO
2331,3017,103,700,221,34,CT
77,511,5,63,3,3,DC
770,652,32,156,23,4,DE
21043,36657,640,4930,3,1,FL
7977,12614,186,3043,37,4,GA
808,1234,45,175,162,28,IA
216,113,12,13,29,2,ID
6932,13186,691,1660,1371,75,IL
4591,7130,139,1060,523,35,IN
605,445,21,111,58,13,KS
2115,4190,157,1148,254,38,KY
8205,9003,693,1501,9,19,LA
2469,4609,183,891,299,75,MA
2878,4553,145,655,214,20,MD
166,320,10,75,49,7,ME
6952,12290,393,2076,2430,57,MI
6844,9823,212,1265,1792,105,MN
3104,3985,76,962,267,20,MO
919,1118,27,314,12,6,MS
20,51,4,3,38,4,MT
11355,37409,464,5636,428,36,NC
8,8,0,0,1,0,ND
2419,2600,32,475,280,29,NE
558,1292,22,316,285,37,NH
4425,6951,169,2041,573,60,NJ
438,1565,3,58,19,0,NM
952,1323,8,80,95,1,NV
7008,22617,546,4118,2710,87,NY
4710,9393,311,2070,1018,74,OH
8572,10038,60,1383,50,71,OK
7501,10059,981,2216,224,89,OR
7068,10783,485,2051,996,84,PA
612,2006,41,441,92,2,RI
23868,24178,1086,5294,150,47,SC
1,7,1,0,3,0,SD
3051,17932,360,2641,212,36,TN
26387,47172,1830,5759,19,42,TX
4112,4672,91,261,550,5,UT
8695,13146,259,2852,455,34,VA
28,98,5,18,38,2,VT
5255,10338,472,2353,125,16,WA
1550,2551,99,383,413,8,WI
142,319,18,131,22,3,WV
53,74,5,2,12,3,WY